FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,LBC_RATE
8079,-952357.1057,1680561.859,1998,20,11.1,3,0.18,0.008,38
8081,-1021328.67,2022008.896,1998,28,11.5,5.39,0.45,0.002,47
8083,-1102273.11,1661903.56,1998,23.8,17.6,3.03,0.97,0.053,46
8085,-1058417.207,1776457.44,1998,25.5,13.2,3,0.39,0.002,56
8087,-657761.8652,1943459.992,1998,26.4,14.5,8.4,0.58,0,49
8089,-671363.7325,1679164,1998,24.8,21.9,7.95,0.46,0,52
8091,-1018936.481,1743361.799,1998,19.6,8,3,0.26,0.005,48
8093,-830931.5592,1830789.968,1998,21.7,6.7,3.81,0.32,0,46
8095,-533128.9017,1971382.704,1998,22.3,11.7,6.83,0.55,0.002,50
8097,-931742.6072,1852861.889,1998,16.6,4.2,3,0.18,0,37
8099,-556013.2083,1676518.427,1998,25.7,20.1,8.07,0.42,0.001,58
8101,-737686.9471,1715372.271,1998,26.8,17.3,7.9,0.7,0,51
8103,-1031338.464,1951228.166,1998,23.4,10.6,4.17,0.34,0,49
8105,-906423.8482,1665583.014,1998,22,26.4,3,0.2,0.005,35
8107,-921759.5471,1994620.387,1998,19.7,6.7,4.43,0.48,0.001,37
8109,-891489.6983,1720138.187,1998,23.3,23.4,3.04,0.22,0.002,46
8111,-1016284.352,1698857.061,1998,18.9,20.9,3,0.17,0.015,39
8113,-1075922.788,1733678.905,1998,16.2,8.8,3,0.25,0.007,47
8115,-530564.7454,2002858.7,1998,24.3,14.6,7.03,0.58,0.002,52
8117,-858784.8352,1891714.34,1998,18.3,5.4,3.65,0.2,0,46
8119,-786157.6261,1799617.447,1998,21.6,8,4.5,0.79,0,48
8121,-609104.7815,1906774.289,1998,23.8,13.2,7.64,0.63,0,49
8123,-703941.7425,1980180.672,1998,21.6,11.4,7.08,1.13,0.001,48
8125,-543238.3122,1905602.144,1998,24,13.2,7.67,0.59,0.001,49
9001,1861863.825,2251708.214,1998,21,7.7,10.64,3.07,0.038,57
9003,1900269.968,2323058.093,1998,22.9,10.1,10.47,2.99,0.017,64
9005,1859618.764,2311363.344,1998,22.6,5.3,9.73,2.67,0.022,62
9007,1925466.445,2289801.725,1998,23.9,5,10.7,2.77,0.022,65
9009,1894969.234,2276090.852,1998,24,10.4,10.71,3.1,0.026,64
9011,1959597.493,2301208.01,1998,25.3,8,10.26,2.1,0.028,65
9013,1930655.593,2336303.275,1998,21.5,5,10.05,2.77,0.021,65
9015,1959231.225,2340738.908,1998,26.7,9.8,9.74,2.86,0.036,67
10001,1737530.538,1972072.594,1998,27.8,11.9,16.47,4.03,0.097,74
10003,1719077.989,2024828.341,1998,25.3,8.5,17.01,6.36,0.096,73
10005,1762733.34,1928788.66,1998,29,12.1,15.26,4.74,0.082,79
11001,1620145.774,1926595.621,1998,21.4,18.2,15.74,6.34,0.21,71
12001,1315489.186,827901.3754,1998,20.7,17.1,16.27,1.08,0.07,75
12003,1312076.982,900951.5536,1998,29.4,15.9,15.29,1.05,0.048,88
12005,995258.6199,853221.6006,1998,27.8,14.6,14.08,0.68,0.045,86
12007,1329251.395,860692.8076,1998,28.9,18.7,16.07,1.07,0.063,86
12009,1495501.452,700690.5669,1998,28.6,10.5,9.09,0.96,0.036,70
12011,1557577.253,471887.7456,1998,24,11,7.36,1.69,0.027,60
12013,1033881.383,873281.0355,1998,29.6,21.3,14.09,0.69,0.034,85
12015,1403406.171,531558.6164,1998,28.4,9.5,8.67,0.96,0.051,61
12017,1317000.049,735647.0342,1998,30.4,13.6,14.37,1.76,0.143,75
12019,1358311.28,868759.325,1998,25.4,7.7,15.63,1.45,0.073,81
12021,1472615.201,453662.7502,1998,24.5,10.3,7.47,0.78,0.018,51
